player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type
Gabriel dos Santos Magalhães,16,0,15,723,14,129.7,0.66,5.7,5.04,41.84,43,3,126.5,733.8,3409,0,0,0,0,0,1389934.0,38,401.0,146,2949506,2436932,5,38,£5.0,£5.2,£0.2,512574,37.87777777777778,0.0174244646523907,0.1504840129070108,0.1330595482546201,1.1046054561454972,0.0792021120563215,1.1352302728072747,0.0,0.0,0.3960105602816074,Gabriel dos Santos Magalhães,Gabriel,dos Santos Magalhães,52,DEF
Garang Kuol,683,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,78.0,0,0.0,0,155,126,0,0,£4.5,£4.5,£0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garang Kuol,Garang,Kuol,45,MID
Gavin Bazunu,422,0,3,485,4,10.0,0.05,0.05,0.0,46.75,56,0,64.2,633.0,2880,0,0,1,0,69,72531.0,32,0.0,84,105770,115083,0,32,£4.5,£4.4,£-0.1,-9313,32.0,0.0015625,0.0015625,0.0,1.4609375,0.0,1.75,2.15625,0.0,0.09375,Gavin Bazunu,Gavin,Bazunu,44,GK
George Abbott,758,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,151.0,0,0.0,1,321,148,0,1,£4.5,£4.5,£0.0,173,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Abbott,George,Abbott,45,MID
George Shelvey,749,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,305.0,0,0.0,0,692,388,0,0,£4.0,£4.0,£0.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Shelvey,George,Shelvey,40,GK
George Wickens,747,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,484.0,0,0.0,0,1294,1058,0,0,£4.0,£4.0,£0.0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Wickens,George,Wickens,40,GK
Georginio Rutter,700,1,0,45,0,38.3,0.23,0.64,0.41,5.68,9,0,11.4,36.2,263,0,0,0,0,0,2773.0,1,41.0,15,13245,9132,0,11,£5.5,£5.0,£-0.5,4113,2.922222222222222,0.0787072243346007,0.2190114068441064,0.1403041825095057,1.9437262357414449,0.0,3.0798479087452475,0.0,0.3422053231939164,0.0,Georginio Rutter,Georginio,Rutter,50,FWD
Gianluca Scamacca,529,0,7,110,3,160.70000000000002,0.51,2.93,2.42,11.41,12,3,62.0,151.79999999999998,921,0,0,0,0,0,99846.0,11,312.0,41,424051,483535,3,16,£7.0,£6.6,£-0.4,-59484,10.233333333333333,0.0498371335504886,0.2863192182410424,0.2364820846905537,1.1149837133550489,0.2931596091205212,1.1726384364820848,0.0,0.0,0.6840390879478828,Gianluca Scamacca,Gianluca,Scamacca,66,FWD
Giulian Biancone,399,0,0,9,0,0.0,0.0,0.0,0.0,0.5499999999999999,1,0,0.7,6.8,15,0,0,0,0,0,4626.0,0,0.0,2,1839,7299,0,2,£4.5,£4.2,£-0.3,-5460,0.1666666666666666,0.0,0.0,0.0,3.3,0.0,6.0,0.0,0.0,0.0,Giulian Biancone,Giulian,Biancone,42,DEF
Gonçalo Manuel Ganchinho Guedes,579,1,1,85,2,139.6,0.4499999999999999,1.65,1.2,11.99,12,1,45.1,89.4,703,0,0,0,0,0,25150.0,8,223.0,29,111308,93651,1,13,£6.0,£5.8,£-0.2,17657,7.811111111111111,0.0576102418207681,0.2112375533428165,0.1536273115220483,1.5349928876244667,0.1280227596017069,1.5362731152204836,0.0,0.1280227596017069,0.1280227596017069,Gonçalo Manuel Ganchinho Guedes,Gonçalo Manuel,Ganchinho Guedes,58,MID
Granit Xhaka,3,8,15,634,13,673.3,3.89,8.54,4.65,36.52,35,7,182.0,647.0,2992,0,0,0,0,0,309157.0,36,498.0,153,939075,778861,4,37,£5.0,£4.8,£-0.2,160214,33.24444444444445,0.1170120320855614,0.2568850267379678,0.1398729946524064,1.098529411764706,0.2105614973262032,1.052807486631016,0.0,0.2406417112299465,0.4512032085561497,Granit Xhaka,Granit,Xhaka,48,MID
