player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Marc Guéhi,167,0,2,623,9,142.7,0.82,2.28,1.46,46.47,46,1,103.9,688.2,3330,1,0,0,0,0,200903.0,37,205.0,95,670714,584806,8,37,£4.5,£4.5,£0.0,85908,37.0,0.0221621621621621,0.0616216216216216,0.0394594594594594,1.255945945945946,0.027027027027027,1.2432432432432432,0.0,0.0,0.054054054054054,Marc Guéhi,Marc,Guéhi,£4.5,DEF,1.2432432432432432,3.3792097111706942
Marc Roca Junqué,245,3,3,357,2,475.8,2.49,4.59,2.1,46.6,60,1,123.1,433.6,2316,0,0,0,0,0,9154.0,29,323.0,67,18452,23512,7,32,£5.0,£4.8,£-0.2,-5060,25.73333333333333,0.096761658031088,0.1783678756476683,0.0816062176165803,1.810880829015544,0.038860103626943,2.33160621761658,0.0,0.116580310880829,0.116580310880829,Marc Roca Junqué,Marc,Roca Junqué,£4.8,MID,2.33160621761658,2.6211787564766835
Marcel Sabitzer,728,1,0,98,5,138.9,1.2,1.94,0.74,11.08,7,0,32.5,100.4,622,0,0,0,0,0,9321.0,7,84.0,25,42558,29076,1,11,£5.0,£4.7,£-0.3,13482,6.911111111111111,0.1736334405144694,0.2807073954983922,0.1070739549839228,1.6032154340836011,0.0,1.012861736334405,0.0,0.1446945337620578,0.0,Marcel Sabitzer,Marcel,Sabitzer,£4.7,MID,1.012861736334405,2.745176848874598
Marcos Senesi,576,0,5,462,5,78.7,0.35,2.01,1.66,47.62,55,2,77.5,586.0,2489,0,0,0,0,0,17025.0,29,109.0,69,83540,64017,7,31,£4.5,£4.4,£-0.1,19523,27.655555555555555,0.0126556850140618,0.0726797910807553,0.0600241060666934,1.721896343913218,0.0723182000803535,1.9887505022097227,0.0,0.0,0.1807955002008839,Marcos Senesi,Marcos,Senesi,£4.4,DEF,1.9887505022097227,3.0471969089814994
Marcus Rashford,335,7,21,530,13,459.7,2.86,18.13,15.27,43.46,39,17,277.6,887.8,2880,0,0,0,0,0,3646440.0,32,1427.0,205,12078221,6991480,2,35,£6.5,£7.2,£0.7,5086741,32.0,0.089375,0.5665625,0.4771875,1.358125,0.53125,1.21875,0.0,0.21875,0.65625,Marcus Rashford,Marcus,Rashford,£7.2,MID,1.21875,4.983281249999999
Marcus Tavernier,535,4,12,315,5,348.4,1.37,4.5,3.13,31.77,37,5,124.2,459.8,1740,0,0,0,0,0,21162.0,19,436.0,94,164013,162393,1,23,£5.0,£4.7,£-0.3,1620,19.33333333333333,0.0708620689655172,0.2327586206896552,0.1618965517241379,1.6432758620689656,0.2586206896551724,1.913793103448276,0.0,0.2068965517241379,0.6206896551724138,Marcus Tavernier,Marcus,Tavernier,£4.7,MID,1.913793103448276,3.467931034482758
Mario Lemina,698,1,0,196,5,65.0,0.46,0.71,0.25,27.88,28,0,30.1,200.4,1297,0,0,0,1,0,1057.0,17,36.0,35,4752,2374,2,19,£4.5,£4.5,£0.0,2378,14.411111111111111,0.0319198149575944,0.0492675404780262,0.0173477255204317,1.9346183500385503,0.0,1.9429452582883573,0.0,0.069390902081727,0.0,Mario Lemina,Mario,Lemina,£4.5,MID,1.9429452582883577,2.195335389360061
Mark Travers,72,0,1,193,2,0.0,0.0,0.0,0.0,19.68,32,0,25.4,253.0,1035,0,0,0,0,36,44149.0,11,0.0,28,67840,83475,0,12,£4.5,£4.1,£-0.4,-15635,11.5,0.0,0.0,0.0,1.711304347826087,0.0,2.782608695652174,3.130434782608696,0.0,0.0869565217391304,Mark Travers,Mark,Travers,£4.1,GK,2.782608695652174,2.4850138264139803
Martin Ødegaard,7,8,30,813,13,1100.4,8.02,17.77,9.75,37.94,38,15,298.3,960.0,3132,0,0,0,0,0,2733058.0,37,920.0,212,7549631,4883017,4,37,£6.5,£6.9,£0.4,2666614,34.8,0.2304597701149425,0.510632183908046,0.2801724137931035,1.0902298850574712,0.4310344827586207,1.091954022988506,0.0,0.2298850574712644,0.8620689655172414,Martin Ødegaard,Martin,Ødegaard,£6.9,MID,1.0919540229885059,4.468534482758621
Mason Holgate,192,0,2,81,2,71.9,0.1699999999999999,1.17,1.0,9.49,9,0,21.5,90.4,506,0,0,0,1,0,8750.0,5,55.0,16,9414,18445,1,8,£4.5,£4.2,£-0.3,-9031,5.622222222222222,0.0302371541501976,0.2081027667984189,0.1778656126482213,1.6879446640316207,0.0,1.6007905138339922,0.0,0.0,0.3557312252964427,Mason Holgate,Mason,Holgate,£4.2,DEF,1.6007905138339922,3.352224854547318
Mason Mount,142,4,8,277,8,463.1,2.81,4.78,1.97,23.53,21,3,117.2,331.40000000000003,1644,0,0,0,0,0,635668.0,20,376.0,82,2479756,2735880,4,24,£8.0,£7.2,£-0.8,-256124,18.266666666666666,0.1538321167883211,0.2616788321167883,0.1078467153284671,1.288138686131387,0.1642335766423358,1.1496350364963503,0.0,0.218978102189781,0.437956204379562,Mason Mount,Mason,Mount,£7.2,MID,1.1496350364963503,3.23941605839416
Mateo Kovacic,132,2,2,289,4,363.8,2.04,3.83,1.7899999999999998,24.0,25,1,77.5,294.2,1699,0,0,0,0,0,38481.0,17,114.0,53,79886,130707,8,27,£5.0,£4.9,£-0.1,-50821,18.877777777777776,0.1080635668040023,0.2028840494408475,0.0948204826368452,1.2713360800470863,0.0529723366686286,1.3243084167157153,0.0,0.1059446733372572,0.1059446733372572,Mateo Kovacic,Mateo,Kovacic,£4.9,MID,1.3243084167157153,2.690494408475574
Mateus Cardoso Lemos Martins,715,0,1,90,0,98.7,0.26,1.99,1.73,13.22,15,1,28.8,84.0,732,0,0,0,0,0,10353.0,9,109.0,27,30040,27469,0,13,£5.5,£4.9,£-0.6,2571,8.133333333333333,0.0319672131147541,0.244672131147541,0.2127049180327869,1.6254098360655738,0.1229508196721311,1.844262295081968,0.0,0.0,0.1229508196721311,Mateus Cardoso Lemos Martins,Mateus,Cardoso Lemos Martins,£4.9,MID,1.8442622950819674,2.887090163934426
Matheus Luiz Nunes,589,1,5,338,11,405.0,1.38,3.79,2.41,41.19,38,1,108.6,370.2,2467,0,0,0,1,0,18567.0,30,310.0,80,70148,60331,2,34,£5.0,£4.8,£-0.2,9817,27.41111111111111,0.0503445480340494,0.1382650993109039,0.0879205512768544,1.5026753141467368,0.0364815565464126,1.3862991487636809,0.0,0.0364815565464126,0.1824077827320632,Matheus Luiz Nunes,Matheus Luiz,Nunes,£4.8,MID,1.3862991487636807,2.4412444264288604
Matheus Santos Carneiro Da Cunha,682,0,6,122,5,95.1,0.17,1.89,1.72,16.76,12,2,45.1,143.0,961,0,0,0,0,0,19858.0,12,217.0,39,110640,70404,1,17,£5.5,£5.3,£-0.2,40236,10.677777777777775,0.0159209157127991,0.177003121748179,0.1610822060353798,1.5696149843912592,0.1873048907388137,1.1238293444328824,0.0,0.0,0.5619146722164412,Matheus Santos Carneiro Da Cunha,Matheus,Santos Carneiro Da Cunha,£5.3,FWD,1.1238293444328824,2.7206555671175856
Mathias Jensen,88,7,11,498,10,787.9,4.79,7.13,2.34,40.47,40,5,164.1,644.0,2805,0,0,0,0,0,218645.0,37,208.0,132,1052934,772713,5,37,£5.0,£4.8,£-0.2,280221,31.166666666666668,0.1536898395721925,0.2287700534759358,0.0750802139037433,1.2985026737967913,0.160427807486631,1.2834224598930482,0.0,0.2245989304812834,0.3529411764705882,Mathias Jensen,Mathias,Jensen,£4.8,MID,1.2834224598930482,3.1562032085561498
Mathias Jorgensen,595,1,4,191,4,18.2,0.15,1.48,1.33,19.73,15,0,25.6,189.8,1097,1,0,0,0,0,96862.0,11,45.0,45,265842,197688,2,18,£4.0,£3.9,£-0.1,68154,12.188888888888888,0.0123062898814949,0.1214220601640838,0.1091157702825888,1.6186873290793071,0.0,1.2306289881494987,0.0,0.0820419325432999,0.3281677301731996,Mathias Jorgensen,Mathias,Jorgensen,£3.9,DEF,1.2306289881494987,3.4494045093776835
Matt Doherty,429,0,2,147,3,110.5,0.27,1.01,0.74,8.61,9,1,40.3,147.0,663,0,0,0,0,0,52016.0,7,146.0,35,269564,267067,0,12,£5.0,£4.6,£-0.4,2497,7.366666666666666,0.0366515837104072,0.13710407239819,0.1004524886877828,1.1687782805429865,0.1357466063348416,1.2217194570135748,0.0,0.0,0.2714932126696833,Matt Doherty,Matt,Doherty,£4.6,DEF,1.2217194570135748,3.9745133043115426
Matt Targett,367,0,2,157,3,141.9,0.67,0.68,0.01,6.79,6,0,24.8,97.6,600,0,0,0,0,0,73605.0,6,8.0,35,122148,212545,1,17,£5.0,£4.7,£-0.3,-90397,6.666666666666667,0.1005,0.102,0.0015,1.0185,0.0,0.8999999999999999,0.0,0.0,0.3,Matt Targett,Matt,Targett,£4.7,DEF,0.8999999999999999,3.690661796392311
Matty Cash,43,2,3,311,4,178.0,0.95,1.15,0.2,27.14,29,0,54.4,298.4,1817,0,0,0,0,0,517446.0,20,67.0,57,417090,1811641,4,26,£5.0,£4.6,£-0.4,-1394551,20.18888888888889,0.0470555861309851,0.0569620253164557,0.0099064391854705,1.3443037974683545,0.0,1.4364336818932306,0.0,0.0990643918547055,0.1485965877820583,Matty Cash,Matty,Cash,£4.6,DEF,1.4364336818932306,3.2458900572322156
Max Kilman,484,1,12,622,11,66.9,0.5,1.81,1.31,56.6,56,0,91.6,739.8,3307,0,0,0,0,0,290891.0,37,106.0,109,1128973,762917,3,37,£4.5,£4.3,£-0.2,366056,36.74444444444445,0.0136074992440278,0.0492591472633807,0.0356516480193528,1.5403689144239492,0.0,1.5240399153311155,0.0,0.0272149984880556,0.3265799818566676,Max Kilman,Max,Kilman,£4.3,DEF,1.5240399153311157,3.0324529297925498
Maximilian Wöber,691,0,2,195,2,65.8,0.37,1.14,0.77,22.73,23,0,39.5,273.4,1264,0,0,0,0,0,5020.0,14,54.0,25,24283,14528,3,16,£4.5,£4.4,£-0.1,9755,14.044444444444444,0.0263449367088607,0.0811708860759493,0.0548259493670886,1.6184335443037976,0.0,1.6376582278481011,0.0,0.0,0.1424050632911392,Maximilian Wöber,Maximilian,Wöber,£4.4,DEF,1.6376582278481013,2.98928279957619
Michael Keane,180,2,5,180,2,42.6,0.83,2.12,1.29,23.98,22,1,41.7,242.6,983,0,0,0,0,0,44886.0,10,131.0,39,66645,88284,0,12,£4.5,£4.2,£-0.3,-21639,10.922222222222222,0.0759918616480162,0.1940996948118006,0.1181078331637843,2.195523906408952,0.091556459816887,2.014242115971516,0.0,0.1831129196337741,0.4577822990844354,Michael Keane,Michael,Keane,£4.2,DEF,2.014242115971516,3.5070934876442044
Michael Olise,171,11,15,517,8,1014.6,6.42,9.29,2.87,37.03,38,2,208.8,606.6,2743,0,0,0,0,0,82032.0,31,462.0,132,616748,426106,2,37,£5.5,£5.3,£-0.2,190642,30.47777777777777,0.2106452788917243,0.3048122493620123,0.094166970470288,1.2149835946044478,0.0656215822092599,1.2468100619759388,0.0,0.3609187021509296,0.4921618665694495,Michael Olise,Michael,Olise,£5.3,MID,1.2468100619759388,3.256817353262851
Michail Antonio,458,3,4,222,5,207.7,0.5800000000000001,7.27,6.69,29.47,29,5,107.0,305.8,1822,0,0,0,0,0,194408.0,21,559.0,84,387414,621068,2,33,£7.5,£6.9,£-0.6,-233654,20.244444444444444,0.0286498353457738,0.3591108671789242,0.3304610318331504,1.455708013172338,0.2469813391877058,1.432491767288694,0.0,0.1481888035126235,0.1975850713501646,Michail Antonio,Michail,Antonio,£6.9,FWD,1.4324917672886939,3.4201427003293086
Miguel Almirón Rejala,369,4,15,511,15,424.0,3.0,11.03,8.03,28.35,22,11,187.5,599.2,2487,0,0,0,0,0,1921765.0,29,849.0,158,6616932,5953696,2,34,£5.0,£5.4,£0.4,663236,27.633333333333333,0.1085645355850422,0.3991556091676719,0.2905910735826296,1.025934861278649,0.3980699638118214,0.7961399276236429,0.0,0.1447527141133896,0.5428226779252111,Miguel Almirón Rejala,Miguel,Almirón Rejala,£5.4,MID,0.7961399276236429,4.101628468033775
Mikkel Damsgaard,580,0,0,131,3,161.0,1.3199999999999998,3.63,2.31,14.89,14,0,44.5,137.4,970,0,0,0,0,0,8177.0,9,146.0,33,25400,24448,4,26,£5.5,£5.0,£-0.5,952,10.77777777777778,0.1224742268041236,0.3368041237113401,0.2143298969072165,1.3815463917525772,0.0,1.2989690721649485,0.0,0.0,0.0,Mikkel Damsgaard,Mikkel,Damsgaard,£5.0,MID,1.2989690721649483,2.7195360824742263
Mohamed Elyounoussi,406,1,0,218,2,297.2,1.53,5.05,3.52,37.02,45,1,96.8,285.0,2162,0,0,0,0,0,6773.0,27,388.0,62,8917,14196,4,33,£5.5,£5.1,£-0.4,-5279,24.022222222222226,0.063691026827012,0.2102220166512488,0.1465309898242368,1.5410730804810362,0.0416281221091581,1.8732654949121184,0.0,0.0416281221091581,0.0,Mohamed Elyounoussi,Mohamed,Elyounoussi,£5.1,MID,1.8732654949121184,2.6283765032377424
Mohamed Salah,283,13,23,651,13,869.9,7.03,28.04,21.01,47.47,45,19,353.7,1046.2,3290,0,2,0,0,0,3767657.0,37,1620.0,239,8242332,6998909,2,38,£13.0,£13.1,£0.1,1243423,36.55555555555556,0.1923100303951367,0.7670516717325228,0.574741641337386,1.2985714285714285,0.5197568389057751,1.2310030395136775,0.0,0.3556231003039513,0.6291793313069909,Mohamed Salah,Mohamed,Salah,£13.1,MID,1.2310030395136777,5.5581458966565345
Mohammed Salisu,420,1,2,305,1,109.7,0.5,1.9,1.4,28.84,41,0,81.5,537.4,1971,1,0,0,0,0,18668.0,21,167.0,33,31869,40316,5,22,£4.5,£4.2,£-0.3,-8447,21.9,0.0228310502283105,0.0867579908675799,0.0639269406392694,1.3168949771689498,0.0,1.8721461187214608,0.0,0.045662100456621,0.091324200913242,Mohammed Salisu,Mohammed,Salisu,£4.2,DEF,1.8721461187214614,3.138039150101136
Moisés Caicedo Corozo,120,1,0,503,10,668.6,2.51,4.18,1.67,45.9,47,1,146.3,582.2,3138,0,0,0,0,0,34419.0,34,210.0,79,107442,76016,10,37,£5.0,£5.0,£0.0,31426,34.86666666666667,0.0719885277246653,0.1198852772466539,0.0478967495219885,1.3164435946462714,0.02868068833652,1.3479923518164436,0.0,0.02868068833652,0.0,Moisés Caicedo Corozo,Moisés,Caicedo Corozo,£5.0,MID,1.3479923518164436,2.3424474187380495
Morgan Gibbs-White,493,12,11,479,8,941.1,6.0600000000000005,12.83,6.7700000000000005,57.88,61,5,215.7,593.4,3151,0,0,0,0,0,49900.0,36,624.0,145,350758,243738,6,37,£5.5,£5.5,£0.0,107020,35.01111111111111,0.1730879086004443,0.3664550936210726,0.1933671850206283,1.6531894636623294,0.1428118057759441,1.7423040304665185,0.0,0.3427483338622659,0.3141859727070771,Morgan Gibbs-White,Morgan,Gibbs-White,£5.5,MID,1.7423040304665185,3.6142018406854963
Moussa Djenepo,418,2,0,117,0,123.2,0.43,0.58,0.15,11.26,14,0,33.7,141.8,702,0,0,0,0,0,8140.0,7,70.0,27,16550,19995,1,16,£5.0,£4.9,£-0.1,-3445,7.8,0.0551282051282051,0.0743589743589743,0.0192307692307692,1.4435897435897436,0.0,1.794871794871795,0.0,0.2564102564102564,0.0,Moussa Djenepo,Moussa,Djenepo,£4.9,MID,1.794871794871795,2.5153846153846153
Moussa Niakhaté,507,0,0,141,2,14.8,0.15,0.81,0.66,23.87,22,0,24.9,173.4,1163,0,0,0,0,0,6021.0,14,61.0,25,4815,14788,1,14,£4.5,£4.3,£-0.2,-9973,12.922222222222222,0.0116079105760963,0.06268271711092,0.0510748065348237,1.8472055030094583,0.0,1.702493551160791,0.0,0.0,0.0,Moussa Niakhaté,Moussa,Niakhaté,£4.3,DEF,1.702493551160791,2.850447766339323
Mykhailo Mudryk,699,2,0,73,0,146.4,1.26,3.08,1.82,10.88,10,0,38.2,100.8,650,0,0,0,0,0,159980.0,7,140.0,25,580215,532026,1,15,£7.0,£6.4,£-0.6,48189,7.222222222222222,0.1744615384615384,0.4264615384615384,0.252,1.5064615384615383,0.0,1.3846153846153846,0.0,0.2769230769230769,0.0,Mykhailo Mudryk,Mykhailo,Mudryk,£6.4,MID,1.3846153846153846,3.307076923076923
N'Golo Kanté,134,1,1,120,2,186.9,0.8200000000000001,1.13,0.32,5.23,7,0,35.2,107.0,517,0,0,0,0,0,142848.0,6,58.0,18,100500,393261,1,7,£5.0,£4.8,£-0.2,-292761,5.7444444444444445,0.1427466150870406,0.1967117988394583,0.055705996131528,0.9104448742746616,0.0,1.218568665377176,0.0,0.1740812379110251,0.1740812379110251,N'Golo Kanté,N'Golo,Kanté,£4.8,MID,1.2185686653771761,2.6145067698259186
Nampalys Mendy,252,0,1,142,0,42.0,0.13,0.26,0.13,12.45,13,1,17.8,115.2,746,0,0,0,0,0,49621.0,7,20.0,30,51567,84827,1,19,£4.5,£4.2,£-0.3,-33260,8.28888888888889,0.0156836461126005,0.031367292225201,0.0156836461126005,1.5020107238605895,0.1206434316353887,1.5683646112600536,0.0,0.0,0.1206434316353887,Nampalys Mendy,Nampalys,Mendy,£4.2,MID,1.5683646112600536,2.364343163538874
Nathan Aké,308,0,9,419,9,161.6,1.3,2.85,1.55,16.48,15,1,69.7,383.4,1871,0,0,0,0,0,261087.0,22,150.0,92,1456074,1105455,2,26,£5.0,£5.0,£0.0,350619,20.788888888888888,0.0625334045964724,0.1370924639230358,0.0745590593265633,0.7927311598075896,0.0481026189203634,0.7215392838054516,0.0,0.0,0.432923570283271,Nathan Aké,Nathan,Aké,£5.0,DEF,0.7215392838054516,4.3390062340341675
Nathan Collins,516,0,6,326,4,37.9,0.21,0.44,0.23,32.93,37,0,48.9,419.0,1811,0,0,0,1,0,68661.0,19,29.0,49,122858,189959,2,26,£4.5,£4.2,£-0.3,-67101,20.122222222222224,0.0104362230811706,0.0218663721700717,0.0114301490889011,1.6364991717283268,0.0,1.8387631143014909,0.0,0.0,0.2981778023191607,Nathan Collins,Nathan,Collins,£4.2,DEF,1.8387631143014909,2.757293401552346
Nathan Patterson,197,0,0,173,2,111.9,0.71,1.19,0.48,25.4,22,0,45.3,231.4,1274,0,0,0,0,0,430885.0,14,108.0,31,1207756,1468546,3,19,£4.0,£3.9,£-0.1,-260790,14.155555555555557,0.0501569858712715,0.084065934065934,0.0339089481946624,1.7943485086342232,0.0,1.554160125588697,0.0,0.0,0.0,Nathan Patterson,Nathan,Patterson,£3.9,DEF,1.554160125588697,2.9321674192239904
Nathaniel Clyne,157,0,0,246,3,124.9,0.6000000000000001,0.6000000000000001,0.0,26.26,23,0,33.6,203.6,1638,0,0,0,0,0,16108.0,19,8.0,44,24988,31201,3,22,£4.5,£4.5,£0.0,-6213,18.2,0.0329670329670329,0.0329670329670329,0.0,1.4428571428571428,0.0,1.2637362637362637,0.0,0.0,0.0,Nathaniel Clyne,Nathaniel,Clyne,£4.5,DEF,1.2637362637362637,3.0871465214540885
Nayef Aguerd,472,0,5,320,5,67.5,0.23,2.46,2.23,28.42,28,2,58.5,404.4,1594,0,0,0,0,0,19711.0,17,113.0,58,100667,64782,4,18,£5.0,£4.8,£-0.2,35885,17.711111111111112,0.0129861982434127,0.1388958594730238,0.125909661229611,1.6046424090338771,0.1129234629861982,1.5809284818067753,0.0,0.0,0.2823086574654956,Nayef Aguerd,Nayef,Aguerd,£4.8,DEF,1.5809284818067753,3.5494693637629866
Neal Maupay,110,0,3,86,3,109.9,0.24,5.15,4.91,22.04,19,1,62.2,85.8,1104,0,0,0,0,0,65851.0,11,429.0,41,258275,263755,4,27,£6.5,£5.6,£-0.9,-5480,12.266666666666667,0.0195652173913043,0.4198369565217391,0.4002717391304348,1.7967391304347824,0.0815217391304347,1.5489130434782608,0.0,0.0,0.2445652173913043,Neal Maupay,Neal,Maupay,£5.6,FWD,1.5489130434782608,2.9929347826086956
Neco Williams,295,1,1,284,4,257.3,1.22,2.46,1.24,39.55,41,1,84.0,372.2,1872,0,0,0,0,0,2136496.0,20,209.0,54,2101044,3395374,7,31,£4.0,£3.8,£-0.2,-1294330,20.8,0.0586538461538461,0.1182692307692307,0.0596153846153846,1.901442307692308,0.048076923076923,1.971153846153846,0.0,0.048076923076923,0.048076923076923,Neco Williams,Neco,Williams,£3.8,DEF,1.971153846153846,3.0604712529308715
Neeskens Kebano,204,4,0,123,3,179.7,0.88,1.36,0.48,12.37,10,0,41.5,119.6,758,0,0,0,0,0,6490.0,9,112.0,40,11631,16751,0,17,£5.5,£5.4,£-0.1,-5120,8.422222222222222,0.104485488126649,0.1614775725593667,0.0569920844327176,1.4687335092348286,0.0,1.1873350923482848,0.0,0.4749340369393139,0.0,Neeskens Kebano,Neeskens,Kebano,£5.4,MID,1.1873350923482848,3.0116094986807385
Nick Pope,376,0,14,678,14,20.0,0.01,0.01,0.0,39.44,32,0,72.9,709.6,3261,0,0,2,1,87,2067787.0,37,0.0,157,3892822,2768243,3,37,£5.0,£5.4,£0.4,1124579,36.23333333333333,0.0002759889604415,0.0002759889604415,0.0,1.0885004599816006,0.0,0.8831646734130635,2.401103955841766,0.0,0.3863845446182152,Nick Pope,Nick,Pope,£5.4,GK,0.8831646734130635,3.500800735624928
Noni Madueke,708,0,2,105,0,131.9,0.72,1.62,0.9,13.11,13,1,44.6,130.8,639,0,0,0,0,0,8004.0,7,182.0,26,43572,23798,0,12,£5.5,£5.4,£-0.1,19774,7.1,0.1014084507042253,0.228169014084507,0.1267605633802817,1.8464788732394368,0.1408450704225352,1.8309859154929573,0.0,0.0,0.2816901408450704,Noni Madueke,Noni,Madueke,£5.4,MID,1.8309859154929577,2.82112676056338
Norberto Murara Neto,574,0,9,510,6,0.0,0.02,0.02,0.0,44.7,39,0,72.8,727.6,2385,0,0,0,0,100,35681.0,27,0.0,93,163492,103203,4,27,£4.5,£4.5,£0.0,60289,26.5,0.000754716981132,0.000754716981132,0.0,1.6867924528301887,0.0,1.471698113207547,3.7735849056603774,0.0,0.3396226415094339,Norberto Murara Neto,Norberto,Murara Neto,£4.5,GK,1.471698113207547,2.830427488048539
Nélson Cabral Semedo,482,1,5,424,8,226.5,0.91,1.44,0.53,50.02,43,0,74.4,443.4,2633,0,0,0,1,0,50524.0,31,79.0,75,228700,152462,11,36,£5.0,£5.0,£0.0,76238,29.25555555555556,0.0311052031902772,0.0492214204329661,0.0181162172426889,1.709760729206229,0.0,1.4698063045955183,0.0,0.0341815419673376,0.1709077098366881,Nélson Cabral Semedo,Nélson,Cabral Semedo,£5.0,DEF,1.4698063045955183,2.9740369668777857
Odsonne Edouard,166,2,5,225,5,227.7,0.8,4.94,4.14,24.19,25,5,111.5,351.6,1788,0,0,0,0,0,254771.0,20,544.0,82,903801,986355,3,35,£5.5,£5.0,£-0.5,-82554,19.866666666666667,0.0402684563758389,0.2486577181208054,0.2083892617449664,1.2176174496644296,0.2516778523489932,1.2583892617449663,0.0,0.1006711409395973,0.2516778523489932,Odsonne Edouard,Odsonne,Edouard,£5.0,FWD,1.2583892617449663,3.1315436241610737
Oleksandr Zinchenko,313,2,8,500,10,387.7,2.39,3.71,1.32,26.67,28,1,98.3,405.0,2122,0,0,0,0,0,1322012.0,26,190.0,99,3237881,3938952,3,27,£5.0,£5.0,£0.0,-701071,23.57777777777778,0.1013666352497643,0.1573515551366635,0.0559849198868991,1.1311498586239397,0.0424128180961357,1.1875589066918002,0.0,0.0848256361922714,0.3393025447690857,Oleksandr Zinchenko,Oleksandr,Zinchenko,£5.0,DEF,1.1875589066918002,3.829735283176489
Oliver Skipp,441,0,1,199,4,146.1,0.41,0.7,0.29,22.65,28,1,39.8,198.2,1489,0,0,0,0,0,12727.0,18,52.0,43,26951,28040,7,23,£4.5,£4.3,£-0.2,-1089,16.544444444444444,0.0247817327065144,0.0423102753525856,0.0175285426460711,1.3690396239086635,0.0604432505036937,1.6924110141034252,0.0,0.0,0.0604432505036937,Oliver Skipp,Oliver,Skipp,£4.3,MID,1.6924110141034252,2.2321020819341837
Ollie Watkins,40,8,25,550,13,408.5,2.66,18.81,16.15,46.65,40,15,247.0,792.0,3129,0,1,0,0,0,876846.0,36,1268.0,175,4367146,3168389,4,37,£7.5,£7.3,£-0.2,1198757,34.766666666666666,0.0765100671140939,0.5410354745925217,0.4645254074784276,1.3418024928092045,0.4314477468839885,1.1505273250239694,0.0,0.2301054650047938,0.7190795781399808,Ollie Watkins,Ollie,Watkins,£7.3,FWD,1.1505273250239694,4.251869606903163
Orel Mangala,536,1,0,190,5,61.6,0.7,1.27,0.5700000000000001,29.46,24,1,32.8,191.4,1543,0,0,0,0,0,2613.0,20,75.0,50,3276,5842,3,27,£5.0,£4.9,£-0.1,-2566,17.144444444444446,0.0408295528191834,0.0740764744005184,0.033246921581335,1.7183408943616332,0.0583279325988334,1.3998703823720025,0.0,0.0583279325988334,0.0,Orel Mangala,Orel,Mangala,£4.9,MID,1.3998703823720025,2.377673363577446
Pablo Fornals Malla,469,1,6,282,1,281.0,2.01,4.14,2.13,25.06,28,3,68.7,226.6,1493,0,0,0,0,0,58869.0,17,182.0,71,75666,173836,0,32,£5.5,£4.9,£-0.6,-98170,16.58888888888889,0.1211654387139986,0.2495646349631614,0.1283991962491627,1.510649698593436,0.1808439383791024,1.6878767582049563,0.0,0.0602813127930341,0.3616878767582049,Pablo Fornals Malla,Pablo,Fornals Malla,£4.9,MID,1.6878767582049565,3.045277963831212
Pablo Sarabia,704,0,3,57,3,184.7,0.89,3.88,2.99,13.37,9,1,43.0,92.0,764,0,0,0,0,0,14841.0,9,157.0,27,75578,48981,3,13,£5.5,£4.9,£-0.6,26597,8.488888888888889,0.1048429319371727,0.4570680628272251,0.3522251308900523,1.575,0.1178010471204188,1.0602094240837696,0.0,0.0,0.3534031413612565,Pablo Sarabia,Pablo,Sarabia,£4.9,MID,1.0602094240837696,3.332329842931937
Pascal Groß,104,8,14,748,11,1215.4,8.93,14.12,5.19,48.43,51,9,268.6,888.4,3240,1,0,0,0,0,1289675.0,37,578.0,159,4495846,3191425,7,37,£5.5,£5.4,£-0.1,1304421,36.0,0.2480555555555555,0.3922222222222222,0.1441666666666666,1.3452777777777778,0.25,1.4166666666666667,0.0,0.2222222222222222,0.3888888888888889,Pascal Groß,Pascal,Groß,£5.4,MID,1.4166666666666667,3.690833333333333
Pascal Struijk,235,2,4,423,4,216.2,1.2000000000000002,2.55,1.35,42.41,52,2,101.5,544.4,2198,0,0,0,0,0,76668.0,26,253.0,66,323500,274323,5,29,£4.5,£4.5,£0.0,49177,24.42222222222222,0.0491355777979981,0.1044131028207461,0.0552775250227479,1.736533212010919,0.0818926296633303,2.129208371246588,0.0,0.0818926296633303,0.1637852593266606,Pascal Struijk,Pascal,Struijk,£4.5,DEF,2.129208371246588,3.198175484704837
Patrick Bamford,227,5,3,157,1,171.6,0.9,9.41,8.51,27.99,31,4,99.6,252.2,1510,0,2,0,0,0,58062.0,18,588.0,70,230206,285945,3,28,£7.5,£7.1,£-0.4,-55739,16.77777777777778,0.0536423841059602,0.5608609271523178,0.5072185430463576,1.6682781456953644,0.23841059602649,1.847682119205298,0.0,0.2980132450331125,0.1788079470198675,Patrick Bamford,Patrick,Bamford,£7.1,FWD,1.847682119205298,4.018741721854304
