player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Jamie Vardy,255,5,4,206,4,173.5,0.7,7.44,6.74,34.77,38,3,90.6,287.0,1841,0,1,0,0,0,249065.0,19,451.0,82,331127,594970,1,37,£9.5,£9.1,£-0.4,-263843,20.45555555555556,0.0342205323193916,0.3637153720803911,0.3294948397609994,1.6997827267789245,0.1466594242259641,1.857686040195546,0.0,0.2444323737099402,0.1955458989679522,Jamie Vardy,Jamie,Vardy,£9.1,FWD,1.857686040195546,3.3702878870179247
Jan Bednarek,410,0,2,321,3,38.4,0.26,0.68,0.42,36.14,40,0,49.7,415.0,1770,1,0,0,0,0,26006.0,21,43.0,32,30291,51259,5,23,£4.5,£4.1,£-0.4,-20968,19.666666666666668,0.0132203389830508,0.0345762711864406,0.0213559322033898,1.837627118644068,0.0,2.0338983050847457,0.0,0.0,0.1016949152542372,Jan Bednarek,Jan,Bednarek,£4.1,DEF,2.0338983050847457,2.6639368257806604
Jarrod Bowen,465,9,9,431,9,674.8,6.0,15.38,9.38,47.84,50,6,237.9,625.8,3232,0,1,0,0,0,383256.0,36,1076.0,145,1398271,1587059,2,38,£8.5,£8.0,£-0.5,-188788,35.91111111111111,0.1670792079207921,0.428279702970297,0.261200495049505,1.332178217821782,0.1670792079207921,1.3923267326732671,0.0,0.2506188118811881,0.2506188118811881,Jarrod Bowen,Jarrod,Bowen,£8.0,MID,1.3923267326732673,3.6972462871287126
Jason Steele,102,1,8,332,6,13.0,0.15,0.15,0.0,23.46,23,0,36.1,347.6,1350,1,0,1,0,37,224860.0,15,0.0,65,1236363,252705,1,15,£4.0,£4.0,£0.0,983658,15.0,0.01,0.01,0.0,1.564,0.0,1.5333333333333334,2.466666666666667,0.0666666666666666,0.5333333333333333,Jason Steele,Jason,Steele,£4.0,GK,1.5333333333333334,2.9652245783280184
Jean-Philippe Mateta,168,0,3,96,3,67.10000000000001,0.16,3.6,3.44,13.49,10,2,41.0,115.8,748,0,0,0,0,0,45173.0,6,240.0,41,101566,141353,3,29,£5.5,£5.1,£-0.4,-39787,8.311111111111112,0.0192513368983957,0.4331550802139037,0.413903743315508,1.6231283422459892,0.2406417112299465,1.2032085561497323,0.0,0.0,0.3609625668449197,Jean-Philippe Mateta,Jean-Philippe,Mateta,£5.1,FWD,1.2032085561497325,3.3379679144385026
Jefferson Lerma Solís,64,0,5,500,7,293.6,3.0,5.58,2.58,60.57,67,5,122.1,616.6,3252,1,0,0,0,0,56476.0,37,311.0,101,149008,161599,7,37,£5.0,£4.7,£-0.3,-12591,36.13333333333333,0.0830258302583025,0.1544280442804428,0.0714022140221402,1.6762915129151292,0.1383763837638376,1.8542435424354244,0.0,0.0,0.1383763837638376,Jefferson Lerma Solís,Jefferson,Lerma Solís,£4.7,MID,1.8542435424354244,2.6489852398523985
Jeffrey Schlupp,161,2,2,324,9,257.6,1.11,4.08,2.97,37.03,38,3,97.9,404.6,2528,0,0,0,0,0,13957.0,30,314.0,89,26773,33940,7,34,£5.0,£4.7,£-0.3,-7167,28.08888888888889,0.0395174050632911,0.145253164556962,0.1057357594936709,1.3183148734177217,0.1068037974683544,1.3528481012658229,0.0,0.0712025316455696,0.0712025316455696,Jeffrey Schlupp,Jeffrey,Schlupp,£4.7,MID,1.3528481012658229,2.697428797468354
Jesse Lingard,527,1,0,93,5,151.9,0.47,1.51,1.04,15.53,17,0,32.9,50.6,918,0,0,0,0,0,191394.0,12,127.0,33,183761,575840,1,17,£6.0,£5.4,£-0.6,-392079,10.2,0.046078431372549,0.1480392156862745,0.1019607843137255,1.5225490196078433,0.0,1.6666666666666667,0.0,0.0980392156862745,0.0,Jesse Lingard,Jesse,Lingard,£5.4,MID,1.6666666666666667,2.471078431372549
Joachim Andersen,165,0,1,483,8,146.3,1.04,2.91,1.87,36.23,37,1,106.4,641.8,2782,2,0,0,0,0,228835.0,32,273.0,80,470047,566859,8,32,£4.5,£4.5,£0.0,-96812,30.91111111111111,0.0336448598130841,0.0941409058231488,0.0604960460100647,1.1720704529115742,0.0323508267433501,1.196980589503954,0.0,0.0,0.0323508267433501,Joachim Andersen,Joachim,Andersen,£4.5,DEF,1.196980589503954,3.5526679502511658
Joe Ayodele-Aribo,512,0,3,161,1,137.1,0.44,1.98,1.54,17.11,24,2,71.5,209.6,1219,0,0,0,0,0,39799.0,13,366.0,46,56346,92619,2,21,£5.5,£5.0,£-0.5,-36273,13.544444444444444,0.0324856439704676,0.1461853978671042,0.1136997538966365,1.2632485643970468,0.1476620180475799,1.7719442165709598,0.0,0.0,0.2214930270713699,Joe Ayodele-Aribo,Joe,Ayodele-Aribo,£5.0,MID,1.7719442165709598,2.7021328958162423
Joe Rothwell,505,1,0,167,3,153.3,1.47,1.63,0.16,17.29,15,0,30.6,127.4,1010,0,0,0,0,0,655.0,12,27.0,33,1299,1734,1,20,£5.0,£4.9,£-0.1,-435,11.22222222222222,0.130990099009901,0.1452475247524752,0.0142574257425742,1.5406930693069307,0.0,1.3366336633663367,0.0,0.0891089108910891,0.0,Joe Rothwell,Joe,Rothwell,£4.9,MID,1.3366336633663367,2.365792079207921
Joe Willock,373,7,11,415,12,547.0,4.29,11.59,7.3,29.62,26,3,174.9,520.8,2556,0,0,0,0,0,85767.0,31,680.0,123,558073,374259,1,35,£5.0,£4.7,£-0.3,183814,28.4,0.151056338028169,0.4080985915492958,0.2570422535211267,1.0429577464788733,0.1056338028169014,0.9154929577464788,0.0,0.2464788732394366,0.3873239436619718,Joe Willock,Joe,Willock,£4.7,MID,0.9154929577464789,3.5029929577464785
